Epoch, Total Squared Error
820,0.103799
821,0.103794
822,0.103788
823,0.103782
824,0.103777
825,0.103771
826,0.103766
827,0.10376
828,0.103755
829,0.103749
830,0.103743
831,0.103738
832,0.103732
833,0.103727
834,0.103721
835,0.103716
836,0.10371
837,0.103705
838,0.103699
839,0.103694
840,0.103688
841,0.103683
842,0.103678
843,0.103672
844,0.103667
845,0.103661
846,0.103656
847,0.103651
848,0.103645
849,0.10364
850,0.103634
851,0.103629
852,0.103624
853,0.103618
854,0.103613
855,0.103608
856,0.103603
857,0.103597
858,0.103592
859,0.103587
860,0.103582
861,0.103576
862,0.103571
863,0.103566
864,0.103561
865,0.103555
866,0.10355
867,0.103545
868,0.10354
869,0.103535
870,0.103529
871,0.103524
872,0.103519
873,0.103514
874,0.103509
875,0.103504
876,0.103499
877,0.103494
878,0.103488
879,0.103483
880,0.103478
881,0.103473
882,0.103468
883,0.103463
884,0.103458
885,0.103453
886,0.103448
887,0.103443
888,0.103438
889,0.103433
890,0.103428
891,0.103423
892,0.103418
893,0.103413
894,0.103408
895,0.103403
896,0.103398
897,0.103393
898,0.103388
899,0.103383
900,0.103379
901,0.103374
902,0.103369
903,0.103364
904,0.103359
905,0.103354
906,0.103349
907,0.103344
908,0.10334
909,0.103335
910,0.10333
911,0.103325
912,0.10332
913,0.103315
914,0.103311
915,0.103306
916,0.103301
917,0.103296
918,0.103292
919,0.103287
920,0.103282
921,0.103277
922,0.103273
923,0.103268
924,0.103263
925,0.103258
926,0.103254
927,0.103249
928,0.103244
929,0.10324
930,0.103235
931,0.10323
932,0.103225
933,0.103221
934,0.103216
935,0.103212
936,0.103207
937,0.103202
938,0.103198
939,0.103193
940,0.103188
941,0.103184
942,0.103179
943,0.103175
944,0.10317
945,0.103165
946,0.103161
947,0.103156
948,0.103152
949,0.103147
950,0.103143
951,0.103138
952,0.103134
953,0.103129
954,0.103124
955,0.10312
956,0.103115
957,0.103111
958,0.103106
959,0.103102
960,0.103097
961,0.103093
962,0.103088
963,0.103084
964,0.10308
965,0.103075
966,0.103071
967,0.103066
968,0.103062
969,0.103057
970,0.103053
971,0.103049
972,0.103044
973,0.10304
974,0.103035
975,0.103031
976,0.103027
977,0.103022
978,0.103018
979,0.103013
980,0.103009
981,0.103005
982,0.103
983,0.102996
984,0.102992
985,0.102987
986,0.102983
987,0.102979
988,0.102974
989,0.10297
990,0.102966
991,0.102961
992,0.102957
993,0.102953
994,0.102949
995,0.102944
996,0.10294
997,0.102936
998,0.102931
999,0.102927
1000,0.102923
1001,0.102919
1002,0.102915
1003,0.10291
1004,0.102906
1005,0.102902
1006,0.102898
1007,0.102893
1008,0.102889
1009,0.102885
1010,0.102881
1011,0.102877
1012,0.102872
1013,0.102868
1014,0.102864
1015,0.10286
1016,0.102856
1017,0.102852
1018,0.102847
1019,0.102843
1020,0.102839
1021,0.102835
1022,0.102831
1023,0.102827
1024,0.102823
1025,0.102818
1026,0.102814
1027,0.10281
1028,0.102806
1029,0.102802
1030,0.102798
1031,0.102794
1032,0.10279
1033,0.102786
1034,0.102782
1035,0.102778
1036,0.102773
1037,0.102769
1038,0.102765
1039,0.102761
1040,0.102757
1041,0.102753
1042,0.102749
1043,0.102745
1044,0.102741
1045,0.102737
1046,0.102733
